time,Close,High,Low,Open,Volume
,AAPL,AAPL,AAPL,AAPL,AAPL
2022-06-15,133.29156494140625,135.17140981281415,130.0732087681398,132.16956604237166,91533000.0
2022-06-16,128.00634765625,130.29955871287268,127.00244927117835,129.99445602178534,108123900.0
2022-06-17,129.48268127441406,130.97868486516475,127.76031356055556,128.0162178037558,134520300.0
2022-06-18,129.48268127441406,130.97868486516475,127.76031356055556,128.0162178037558,134520300.0
2022-06-19,129.48268127441406,130.97868486516475,127.76031356055556,128.0162178037558,134520300.0
2022-06-20,129.48268127441406,130.97868486516475,127.76031356055556,128.0162178037558,134520300.0
2022-06-21,133.724609375,134.8958216908251,131.21488586149243,131.31329785187046,81000500.0
2022-06-22,133.2128143310547,135.5847487472672,131.79554968965817,132.66164417884966,73409200.0
2022-06-23,136.0867156982422,136.40165507690898,133.48840199836928,134.65961425641447,72433800.0
2022-06-24,139.42318725585938,139.66923974712645,137.56303102259437,137.69096810591373,89116800.0
2022-06-25,139.42318725585938,139.66923974712645,137.56303102259437,137.69096810591373,89116800.0
2022-06-26,139.42318725585938,139.66923974712645,137.56303102259437,137.69096810591373,89116800.0
2022-06-27,139.42318725585938,141.22429329407663,138.74407997710588,140.44675901167543,70207900.0
2022-06-28,135.26983642578125,141.15540852649434,135.1517360213465,139.88578412525837,67083400.0
2022-06-29,137.0315704345703,138.44883540642064,134.51199493699397,135.2895293397043,66242400.0
2022-06-30,134.56121826171875,136.1851590666704,131.6578012073038,135.08284846053866,98964500.0
2022-07-01,136.73629760742188,136.84456131567046,133.51794149629842,133.89193111018585,71051600.0
2022-07-02,136.73629760742188,136.84456131567046,133.51794149629842,133.89193111018585,71051600.0
2022-07-03,136.73629760742188,136.84456131567046,133.51794149629842,133.89193111018585,71051600.0
2022-07-04,136.73629760742188,136.84456131567046,133.51794149629842,133.89193111018585,71051600.0
2022-07-05,139.3247833251953,139.37399683516924,134.767885626568,135.59463354770725,73353800.0
2022-07-06,140.66331481933594,141.84436401241877,138.85237172208522,139.11811267133183,74064300.0
2022-07-07,144.03912353515625,144.2359625097589,141.01759196163377,141.02742865411602,66253700.0
2022-07-08,144.71824645996094,145.2202032222622,142.71046446431882,142.9663536838273,64547800.0
2022-07-09,144.71824645996094,145.2202032222622,142.71046446431882,142.9663536838273,64547800.0
2022-07-10,144.71824645996094,145.2202032222622,142.71046446431882,142.9663536838273,64547800.0
