date,Close,High,Low,Open,Volume
2022-06-05,143.8324432373047,146.22408125410382,142.61201747807138,144.70838950271786,71598400.0
2022-06-06,143.8324432373047,146.22408125410382,142.61201747807138,144.70838950271786,71598400.0
2022-06-07,146.36187744140625,146.64729173693155,141.82466868695218,142.07072118986648,67808200.0
2022-06-08,145.6237030029297,147.50353249308398,145.13159805431155,146.23390833350376,53950200.0
2022-06-09,140.3877410888672,145.6138948019082,140.279477367108,144.75763674117547,69473000.0
2022-06-10,134.96475219726562,138.5374250816839,134.89585027333402,138.06500838135332,91437900.0
2022-06-11,134.96475219726562,138.5374250816839,134.89585027333402,138.06500838135332,91437900.0
2022-06-12,134.96475219726562,138.5374250816839,134.89585027333402,138.06500838135332,91437900.0
2022-06-13,129.79762268066406,133.0651921487905,129.3645678675484,130.77198099232118,122207100.0
2022-06-14,130.66372680664062,131.77588901971137,129.40393908646058,131.0278947539339,84784300.0
2022-06-15,133.2915496826172,135.1713943388265,130.07319387777778,132.1695509120254,91533000.0
2022-06-16,128.00634765625,130.29955871287268,127.00244927117836,129.99445602178534,108123900.0
2022-06-17,129.482666015625,130.97866943008026,127.76029850473763,128.01620271778103,134520300.0
2022-06-18,129.482666015625,130.97866943008026,127.76029850473763,128.01620271778103,134520300.0
2022-06-19,129.482666015625,130.97866943008026,127.76029850473763,128.01620271778103,134520300.0
2022-06-20,129.482666015625,130.97866943008026,127.76029850473763,128.01620271778103,134520300.0
2022-06-21,133.72462463378906,134.8958370832566,131.21490083390682,131.31331283551427,81000500.0
2022-06-22,133.2128143310547,135.5847487472672,131.79554968965817,132.66164417884966,73409200.0
2022-06-23,136.08670043945312,136.40163978280717,133.4883870309174,134.65959915763983,72433800.0
2022-06-24,139.42318725585938,139.66923974712645,137.56303102259437,137.69096810591373,89116800.0
2022-06-25,139.42318725585938,139.66923974712645,137.56303102259437,137.69096810591373,89116800.0
2022-06-26,139.42318725585938,139.66923974712645,137.56303102259437,137.69096810591373,89116800.0
2022-06-27,139.42318725585938,141.22429329407663,138.74407997710588,140.44675901167545,70207900.0
2022-06-28,135.2698516845703,141.15542444919123,135.1517512668135,139.88579990473832,67083400.0
2022-06-29,137.0315704345703,138.44883540642064,134.51199493699397,135.2895293397043,66242400.0
2022-06-30,134.5612030029297,136.1851436237319,131.65778627775248,135.08283314259847,98964500.0
2022-07-01,136.7362823486328,136.84454604479996,133.51792659665475,133.89191616880768,71051600.0
2022-07-02,136.7362823486328,136.84454604479996,133.51792659665475,133.89191616880768,71051600.0
2022-07-03,136.7362823486328,136.84454604479996,133.51792659665475,133.89191616880768,71051600.0
2022-07-04,136.7362823486328,136.84454604479996,133.51792659665475,133.89191616880768,71051600.0
2022-07-05,139.3247833251953,139.37399683516924,134.767885626568,135.59463354770725,73353800.0
2022-07-06,140.66329956054688,141.84434862551257,138.85235665974255,139.11809758016227,74064300.0
2022-07-07,144.0391387939453,144.23597778940012,141.0176069003368,141.0274435938611,66253700.0
2022-07-08,144.71826171875,145.22021853397652,142.71047951141156,142.96636875790043,64547800.0
2022-07-09,144.71826171875,145.22021853397652,142.71047951141156,142.96636875790043,64547800.0
2022-07-10,144.71826171875,145.22021853397652,142.71047951141156,142.96636875790043,64547800.0
2022-07-11,142.58250427246094,144.3245602553875,141.50971892875648,143.36987531125314,63141600.0
2022-07-12,143.55685424804688,146.1059542427383,142.7596466450458,143.45842725252902,77588800.0
2022-07-13,143.19273376464844,144.13756705664937,139.87593549444708,140.732208499025,71185600.0
2022-07-14,146.1256866455078,146.59810332697126,140.98810830379452,141.80500455544606,78140700.0
2022-07-15,147.798828125,148.47793549322745,145.85993303693337,147.41498678876548,76259900.0
2022-07-16,147.798828125,148.47793549322745,145.85993303693337,147.41498678876548,76259900.0
2022-07-17,147.798828125,148.47793549322745,145.85993303693337,147.41498678876548,76259900.0
2022-07-18,144.74778747558594,149.17673295190042,144.3836195242813,148.35983676190435,81420900.0
2022-07-19,148.61572265625,148.8420867705286,144.59030701772662,145.58435379595355,82982400.0
2022-07-20,150.6234893798828,151.29275997844778,147.99565052411046,148.73380801228873,64823400.0
2022-07-21,152.89700317382812,153.11353053796404,149.5408440475717,152.06041881077118,65086600.0
2022-07-22,151.65689086914062,153.81231282483463,150.9876353855034,152.93636666663278,66675400.0
2022-07-23,151.65689086914062,153.81231282483463,150.9876353855034,152.93636666663278,66675400.0
2022-07-24,151.65689086914062,153.81231282483463,150.9876353855034,152.93636666663278,66675400.0
2022-07-25,150.53492736816406,152.59192281243702,149.8755084226827,151.5781876406526,53623900.0
2022-07-26,149.20623779296875,150.67270104012428,148.41886681163666,149.8558049610543,55138700.0
2022-07-27,154.31427001953125,154.84575179759253,149.75738820549032,150.17075457850913,78620700.0
2022-07-28,154.86546325683594,155.15087757432116,151.97188319707365,154.50129531236348,81378700.0
2022-07-29,159.9439239501953,161.04624910220983,156.98145795570153,158.69398835800763,101786900.0
2022-07-30,159.9439239501953,161.04624910220983,156.98145795570153,158.69398835800763,101786900.0
2022-07-31,159.9439239501953,161.04624910220983,156.98145795570153,158.69398835800763,101786900.0
2022-08-01,158.95974731445312,161.00690586019908,158.34954193697632,158.46764232800993,67829400.0
2022-08-02,157.4834442138672,159.84555733737668,157.10945460814798,157.57203453166576,59907000.0
2022-08-03,163.5068359375,163.95956419348943,158.21178056001122,158.30035586863676,82507500.0
2022-08-04,163.19187927246094,164.55009405774106,161.8336644871808,163.38871829491413,55474100.0
2022-08-05,162.9652099609375,163.45799860304652,160.64909732753878,160.85607517425956,56697000.0
2022-08-06,162.9652099609375,163.45799860304652,160.64909732753878,160.85607517425956,56697000.0
2022-08-07,162.9652099609375,163.45799860304652,160.64909732753878,160.85607517425956,56697000.0
2022-08-08,162.4921112060547,165.3897106347166,161.8317762742878,163.97047703384425,60276900.0
2022-08-09,162.54136657714844,163.4283949524473,160.89545469517256,161.65435324056202,63135500.0
2022-08-10,166.79910278320312,166.8976514870886,164.49284053929043,165.26158960768942,70170500.0
2022-08-11,166.0598907470703,168.52383349342222,165.76421460976547,167.6072389716485,57149200.0
2022-08-12,169.61782836914062,169.68681094741032,166.95675811414395,167.37071373861576,68039400.0
2022-08-13,169.61782836914062,169.68681094741032,166.95675811414395,167.37071373861576,68039400.0
2022-08-14,169.61782836914062,169.68681094741032,166.95675811414395,167.37071373861576,68039400.0
2022-08-15,170.6920928955078,170.8892052991509,168.87863472005176,169.046181015084,54091700.0
2022-08-16,170.53443908691406,171.20463947132552,169.18420299774098,170.28804476181145,56377100.0
2022-08-17,172.03248596191406,173.60940030005358,170.0810475130616,170.27815992548992,79542000.0
2022-08-18,171.6382598876953,172.3774427727219,170.6231165953559,171.24403503116682,62290100.0
2022-08-19,169.04620361328125,171.23418617524862,168.83922578662404,170.53441975425127,70346300.0
2022-08-20,169.04620361328125,171.23418617524862,168.83922578662404,170.53441975425127,70346300.0
2022-08-21,169.04620361328125,171.23418617524862,168.83922578662404,170.53441975425127,70346300.0
2022-08-22,165.15318298339844,167.41014821395845,164.72937695607638,167.2426018901802,69026800.0
2022-08-23,164.81805419921875,166.2767191348891,164.24641767665275,164.67022364972456,54147100.0
2022-08-24,165.11375427246094,165.68539087789364,163.8522166048561,164.90679147316692,53841500.0
2022-08-25,167.5776824951172,167.68609658373745,165.92192009296824,166.34571105112042,51218200.0
2022-08-26,161.26014709472656,168.58299398508154,161.20101486509154,168.1099211092857,78961000.0
2022-08-27,161.26014709472656,168.58299398508154,161.20101486509154,168.1099211092857,78961000.0
2022-08-28,161.26014709472656,168.58299398508154,161.20101486509154,168.1099211092857,78961000.0
